民國年,行政區,年齡,性別,失業率
102,新北市,60-64歲,女,2.3
102,新北市,65歲以上,男,0
102,新北市,65歲以上,女,0
103,新北市,15-24歲,男,11.4
103,新北市,15-24歲,女,9.7
103,新北市,25-29歲,男,8.4
103,新北市,25-29歲,女,6.5
103,新北市,30-34歲,男,4.4
103,新北市,30-34歲,女,3.1
103,新北市,35-39歲,男,3.5
103,新北市,35-39歲,女,2.7
103,新北市,40-44歲,男,3.8
103,新北市,40-44歲,女,2.3
103,新北市,45-49歲,男,2.5
103,新北市,45-49歲,女,1.8
103,新北市,50-54歲,男,2.2
103,新北市,50-54歲,女,2.2
103,新北市,55-59歲,男,2
103,新北市,55-59歲,女,2.1
103,新北市,60-64歲,男,1.1
103,新北市,60-64歲,女,2.2
103,新北市,65歲以上,男,0.1
103,新北市,65歲以上,女,0.5
104,新北市,15-24歲,男,10.9
104,新北市,15-24歲,女,9.5
104,新北市,25-29歲,男,6.5
104,新北市,25-29歲,女,6.3
104,新北市,30-34歲,男,4.1
104,新北市,30-34歲,女,3.8
104,新北市,35-39歲,男,3.2
104,新北市,35-39歲,女,3.3
104,新北市,40-44歲,男,3
104,新北市,40-44歲,女,1.3
104,新北市,45-49歲,男,2.9
104,新北市,45-49歲,女,1.9
104,新北市,50-54歲,男,3.2
104,新北市,50-54歲,女,2.3
104,新北市,55-59歲,男,1.2
104,新北市,55-59歲,女,1.2
104,新北市,60-64歲,男,0.7
104,新北市,60-64歲,女,4
104,新北市,65歲以上,男,0
104,新北市,65歲以上,女,0
105,新北市,15-24歲,男,12.8
105,新北市,15-24歲,女,10.2
105,新北市,25-29歲,男,7
105,新北市,25-29歲,女,5.4
105,新北市,30-34歲,男,4
105,新北市,30-34歲,女,2.8
105,新北市,35-39歲,男,5
105,新北市,35-39歲,女,2.9
105,新北市,40-44歲,男,3
105,新北市,40-44歲,女,1.9
105,新北市,45-49歲,男,2.8
105,新北市,45-49歲,女,1.4
105,新北市,50-54歲,男,3.3
105,新北市,50-54歲,女,1.3
105,新北市,55-59歲,男,2.5
