民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value2,是（欄位說明僅存於新北市統計年報）,2473.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value3,是（欄位說明僅存於新北市統計年報）,74.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value4,是（欄位說明僅存於新北市統計年報）,21881.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value5,是（欄位說明僅存於新北市統計年報）,1029.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value6,是（欄位說明僅存於新北市統計年報）,97.09
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value7,是（欄位說明僅存於新北市統計年報）,2.91
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value8,是（欄位說明僅存於新北市統計年報）,95.508511567
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,大眾交通工具駕駛人員,2024,item value9,是（欄位說明僅存於新北市統計年報）,4.491488433
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue2,是（欄位說明僅存於新北市統計年報）,202.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue3,是（欄位說明僅存於新北市統計年報）,67.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue4,是（欄位說明僅存於新北市統計年報）,0.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue5,是（欄位說明僅存於新北市統計年報）,0.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue6,是（欄位說明僅存於新北市統計年報）,7.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue7,是（欄位說明僅存於新北市統計年報）,0.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue8,是（欄位說明僅存於新北市統計年報）,24.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue9,是（欄位說明僅存於新北市統計年報）,3.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue10,是（欄位說明僅存於新北市統計年報）,99.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue11,是（欄位說明僅存於新北市統計年報）,31.0
113,,,,,,,欄位未定義,0.0,,交通,新北市政府主計處,道路交通安全,2024,itemvalue12,是（欄位說明僅存於新北市統計年報）,72.0
