民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,591.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,282.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  中和區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,309.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,77.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,33.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  永和區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,44.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,1146.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,541.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新莊區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,605.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,252.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,104.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  新店區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,148.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,1426.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,674.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  樹林區 |  女,itemvalue5,是（欄位說明僅存於新北市統計年報）,752.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  計,itemvalue5,是（欄位說明僅存於新北市統計年報）,467.0
92,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住原住民族種族別人口數,2003 |  鶯歌區 |  男,itemvalue5,是（欄位說明僅存於新北市統計年報）,254.0
