民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,教育程度,畢肄業,人數
108,,3,中和區,,,,無年齡維度,0.0,男,高職,畢業,27072
108,,3,中和區,,,,無年齡維度,0.0,男,高職,肄業,7227
108,,4,永和區,,,,無年齡維度,0.0,女,不識字,未分,711
108,,4,永和區,,,,無年齡維度,0.0,女,二專,畢業,7453
108,,4,永和區,,,,無年齡維度,0.0,女,二專,肄業,640
108,,4,永和區,,,,無年齡維度,0.0,女,五專前三年,肄業,429
108,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,畢業,5723
108,,4,永和區,,,,無年齡維度,0.0,女,五專後二年,肄業,184
108,,4,永和區,,,,無年齡維度,0.0,女,博士,畢業,392
108,,4,永和區,,,,無年齡維度,0.0,女,博士,肄業,206
108,,4,永和區,,,,無年齡維度,0.0,女,國中,畢業,7292
108,,4,永和區,,,,無年齡維度,0.0,女,國中,肄業,1013
108,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),畢業,323
108,,4,永和區,,,,無年齡維度,0.0,女,國中(職業),肄業,148
108,,4,永和區,,,,無年齡維度,0.0,女,國小,畢業,7970
108,,4,永和區,,,,無年齡維度,0.0,女,國小,肄業,695
108,,4,永和區,,,,無年齡維度,0.0,女,大學,畢業,28327
108,,4,永和區,,,,無年齡維度,0.0,女,大學,肄業,5826
108,,4,永和區,,,,無年齡維度,0.0,女,碩士,畢業,6329
108,,4,永和區,,,,無年齡維度,0.0,女,碩士,肄業,1509
108,,4,永和區,,,,無年齡維度,0.0,女,自學,未分,243
108,,4,永和區,,,,無年齡維度,0.0,女,高中,畢業,8173
108,,4,永和區,,,,無年齡維度,0.0,女,高中,肄業,2565
108,,4,永和區,,,,無年齡維度,0.0,女,高職,畢業,15356
108,,4,永和區,,,,無年齡維度,0.0,女,高職,肄業,1910
108,,4,永和區,,,,無年齡維度,0.0,男,不識字,未分,60
108,,4,永和區,,,,無年齡維度,0.0,男,二專,畢業,5941
108,,4,永和區,,,,無年齡維度,0.0,男,二專,肄業,835
108,,4,永和區,,,,無年齡維度,0.0,男,五專前三年,肄業,240
108,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,畢業,5741
108,,4,永和區,,,,無年齡維度,0.0,男,五專後二年,肄業,292
108,,4,永和區,,,,無年齡維度,0.0,男,博士,畢業,962
108,,4,永和區,,,,無年齡維度,0.0,男,博士,肄業,371
108,,4,永和區,,,,無年齡維度,0.0,男,國中,畢業,4930
108,,4,永和區,,,,無年齡維度,0.0,男,國中,肄業,829
108,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),畢業,191
108,,4,永和區,,,,無年齡維度,0.0,男,國中(職業),肄業,102
108,,4,永和區,,,,無年齡維度,0.0,男,國小,畢業,3230
108,,4,永和區,,,,無年齡維度,0.0,男,國小,肄業,358
108,,4,永和區,,,,無年齡維度,0.0,男,大學,畢業,25395
108,,4,永和區,,,,無年齡維度,0.0,男,大學,肄業,6588
108,,4,永和區,,,,無年齡維度,0.0,男,碩士,畢業,9390
108,,4,永和區,,,,無年齡維度,0.0,男,碩士,肄業,1855
108,,4,永和區,,,,無年齡維度,0.0,男,自學,未分,66
108,,4,永和區,,,,無年齡維度,0.0,男,高中,畢業,6757
108,,4,永和區,,,,無年齡維度,0.0,男,高中,肄業,2620
108,,4,永和區,,,,無年齡維度,0.0,男,高職,畢業,11932
108,,4,永和區,,,,無年齡維度,0.0,男,高職,肄業,2535
108,,5,新莊區,,,,無年齡維度,0.0,女,不識字,未分,1573
108,,5,新莊區,,,,無年齡維度,0.0,女,二專,畢業,12679
108,,5,新莊區,,,,無年齡維度,0.0,女,二專,肄業,1637
108,,5,新莊區,,,,無年齡維度,0.0,女,五專前三年,肄業,1052
108,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,畢業,6788
108,,5,新莊區,,,,無年齡維度,0.0,女,五專後二年,肄業,331
108,,5,新莊區,,,,無年齡維度,0.0,女,博士,畢業,284
108,,5,新莊區,,,,無年齡維度,0.0,女,博士,肄業,188
108,,5,新莊區,,,,無年齡維度,0.0,女,國中,畢業,24106
108,,5,新莊區,,,,無年齡維度,0.0,女,國中,肄業,2758
108,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),畢業,195
108,,5,新莊區,,,,無年齡維度,0.0,女,國中(職業),肄業,23
108,,5,新莊區,,,,無年齡維度,0.0,女,國小,畢業,16785
108,,5,新莊區,,,,無年齡維度,0.0,女,國小,肄業,1865
108,,5,新莊區,,,,無年齡維度,0.0,女,大學,畢業,41679
108,,5,新莊區,,,,無年齡維度,0.0,女,大學,肄業,12036
108,,5,新莊區,,,,無年齡維度,0.0,女,碩士,畢業,6399
108,,5,新莊區,,,,無年齡維度,0.0,女,碩士,肄業,1995
108,,5,新莊區,,,,無年齡維度,0.0,女,自學,未分,294
108,,5,新莊區,,,,無年齡維度,0.0,女,高中,畢業,10467
108,,5,新莊區,,,,無年齡維度,0.0,女,高中,肄業,5006
108,,5,新莊區,,,,無年齡維度,0.0,女,高職,畢業,33288
108,,5,新莊區,,,,無年齡維度,0.0,女,高職,肄業,6049
108,,5,新莊區,,,,無年齡維度,0.0,男,不識字,未分,147
108,,5,新莊區,,,,無年齡維度,0.0,男,二專,畢業,10172
108,,5,新莊區,,,,無年齡維度,0.0,男,二專,肄業,2267
108,,5,新莊區,,,,無年齡維度,0.0,男,五專前三年,肄業,767
108,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,畢業,7838
108,,5,新莊區,,,,無年齡維度,0.0,男,五專後二年,肄業,599
108,,5,新莊區,,,,無年齡維度,0.0,男,博士,畢業,631
108,,5,新莊區,,,,無年齡維度,0.0,男,博士,肄業,413
108,,5,新莊區,,,,無年齡維度,0.0,男,國中,畢業,19663
108,,5,新莊區,,,,無年齡維度,0.0,男,國中,肄業,2704
108,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),畢業,218
108,,5,新莊區,,,,無年齡維度,0.0,男,國中(職業),肄業,70
108,,5,新莊區,,,,無年齡維度,0.0,男,國小,畢業,10456
108,,5,新莊區,,,,無年齡維度,0.0,男,國小,肄業,679
108,,5,新莊區,,,,無年齡維度,0.0,男,大學,畢業,35836
108,,5,新莊區,,,,無年齡維度,0.0,男,大學,肄業,13679
108,,5,新莊區,,,,無年齡維度,0.0,男,碩士,畢業,10413
108,,5,新莊區,,,,無年齡維度,0.0,男,碩士,肄業,2731
