民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,主題,機關,資料集,標籤欄,數值欄序號,欄位名稱待補,人數
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  15~19歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,153463.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  20~24歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,163483.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  25~29歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,143688.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  30~34歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,157794.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  35~39歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,171807.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  40~44歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,163706.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  45~49歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,143782.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  50~54歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,89193.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  55~59歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,59971.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  60~64歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,51718.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  65~69歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,37282.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  70~74歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,28862.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  75~79歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,19706.0
89,,,,,,,欄位未定義,0.0,,人口,新北市政府主計處,現住人口之婚姻狀況─按年齡別分,2000 |  80~84歲,itemvalue5,是（欄位說明僅存於新北市統計年報）,10624.0
