來源主題,原始標籤,年齡下限,年齡上限,與18-35關係,青年權重
01_人口,0歲,0,0,不相關,0.0
01_人口,1歲,1,1,不相關,0.0
01_人口,2歲,2,2,不相關,0.0
01_人口,3歲,3,3,不相關,0.0
01_人口,4歲,4,4,不相關,0.0
01_人口,5歲,5,5,不相關,0.0
01_人口,6歲,6,6,不相關,0.0
01_人口,7歲,7,7,不相關,0.0
01_人口,8歲,8,8,不相關,0.0
01_人口,9歲,9,9,不相關,0.0
01_人口,10歲,10,10,不相關,0.0
01_人口,11歲,11,11,不相關,0.0
01_人口,12歲,12,12,不相關,0.0
01_人口,13歲,13,13,不相關,0.0
01_人口,14歲,14,14,不相關,0.0
01_人口,15歲,15,15,不相關,0.0
01_人口,16歲,16,16,不相關,0.0
01_人口,17歲,17,17,不相關,0.0
01_人口,18歲,18,18,完全落入,1.0
01_人口,19歲,19,19,完全落入,1.0
01_人口,20歲,20,20,完全落入,1.0
01_人口,21歲,21,21,完全落入,1.0
01_人口,22歲,22,22,完全落入,1.0
01_人口,23歲,23,23,完全落入,1.0
01_人口,24歲,24,24,完全落入,1.0
01_人口,25歲,25,25,完全落入,1.0
01_人口,26歲,26,26,完全落入,1.0
01_人口,27歲,27,27,完全落入,1.0
01_人口,28歲,28,28,完全落入,1.0
01_人口,29歲,29,29,完全落入,1.0
01_人口,30歲,30,30,完全落入,1.0
01_人口,31歲,31,31,完全落入,1.0
01_人口,32歲,32,32,完全落入,1.0
01_人口,33歲,33,33,完全落入,1.0
01_人口,34歲,34,34,完全落入,1.0
01_人口,35歲,35,35,完全落入,1.0
01_人口,36歲,36,36,不相關,0.0
01_人口,37歲,37,37,不相關,0.0
01_人口,38歲,38,38,不相關,0.0
01_人口,39歲,39,39,不相關,0.0
01_人口,40歲,40,40,不相關,0.0
01_人口,41歲,41,41,不相關,0.0
01_人口,42歲,42,42,不相關,0.0
01_人口,43歲,43,43,不相關,0.0
01_人口,44歲,44,44,不相關,0.0
01_人口,45歲,45,45,不相關,0.0
01_人口,46歲,46,46,不相關,0.0
01_人口,47歲,47,47,不相關,0.0
01_人口,48歲,48,48,不相關,0.0
01_人口,49歲,49,49,不相關,0.0
01_人口,50歲,50,50,不相關,0.0
01_人口,51歲,51,51,不相關,0.0
01_人口,52歲,52,52,不相關,0.0
01_人口,53歲,53,53,不相關,0.0
01_人口,54歲,54,54,不相關,0.0
01_人口,55歲,55,55,不相關,0.0
01_人口,56歲,56,56,不相關,0.0
01_人口,57歲,57,57,不相關,0.0
01_人口,58歲,58,58,不相關,0.0
01_人口,59歲,59,59,不相關,0.0
01_人口,60歲,60,60,不相關,0.0
01_人口,61歲,61,61,不相關,0.0
01_人口,62歲,62,62,不相關,0.0
01_人口,63歲,63,63,不相關,0.0
01_人口,64歲,64,64,不相關,0.0
01_人口,65歲,65,65,不相關,0.0
01_人口,66歲,66,66,不相關,0.0
01_人口,67歲,67,67,不相關,0.0
01_人口,68歲,68,68,不相關,0.0
01_人口,69歲,69,69,不相關,0.0
01_人口,70歲,70,70,不相關,0.0
01_人口,71歲,71,71,不相關,0.0
01_人口,72歲,72,72,不相關,0.0
01_人口,73歲,73,73,不相關,0.0
01_人口,74歲,74,74,不相關,0.0
01_人口,75歲,75,75,不相關,0.0
01_人口,76歲,76,76,不相關,0.0
01_人口,77歲,77,77,不相關,0.0
01_人口,78歲,78,78,不相關,0.0
01_人口,79歲,79,79,不相關,0.0
01_人口,80歲,80,80,不相關,0.0
01_人口,81歲,81,81,不相關,0.0
01_人口,82歲,82,82,不相關,0.0
01_人口,83歲,83,83,不相關,0.0
01_人口,84歲,84,84,不相關,0.0
01_人口,85歲,85,85,不相關,0.0
01_人口,86歲,86,86,不相關,0.0
01_人口,87歲,87,87,不相關,0.0
01_人口,88歲,88,88,不相關,0.0
01_人口,89歲,89,89,不相關,0.0
01_人口,90歲,90,90,不相關,0.0
01_人口,91歲,91,91,不相關,0.0
01_人口,92歲,92,92,不相關,0.0
01_人口,93歲,93,93,不相關,0.0
01_人口,94歲,94,94,不相關,0.0
01_人口,95歲,95,95,不相關,0.0
01_人口,96歲,96,96,不相關,0.0
01_人口,97歲,97,97,不相關,0.0
01_人口,98歲,98,98,不相關,0.0
01_人口,99歲,99,99,不相關,0.0
01_人口,100歲以上,100,100,不相關,0.0
02b_教育程度_含年齡,15~19歲,15,19,部分重疊,0.4
02b_教育程度_含年齡,20~24歲,20,24,完全落入,1.0
02b_教育程度_含年齡,25~29歲,25,29,完全落入,1.0
02b_教育程度_含年齡,30~34歲,30,34,完全落入,1.0
02b_教育程度_含年齡,35~39歲,35,39,部分重疊,0.2
02b_教育程度_含年齡,40~44歲,40,44,不相關,0.0
02b_教育程度_含年齡,45~49歲,45,49,不相關,0.0
02b_教育程度_含年齡,50~54歲,50,54,不相關,0.0
02b_教育程度_含年齡,55~59歲,55,59,不相關,0.0
02b_教育程度_含年齡,60~64歲,60,64,不相關,0.0
02b_教育程度_含年齡,65~69歲,65,69,不相關,0.0
02b_教育程度_含年齡,70~74歲,70,74,不相關,0.0
02b_教育程度_含年齡,75~79歲,75,79,不相關,0.0
02b_教育程度_含年齡,80~84歲,80,84,不相關,0.0
02b_教育程度_含年齡,85~89歲,85,89,不相關,0.0
02b_教育程度_含年齡,90~94歲,90,94,不相關,0.0
02b_教育程度_含年齡,95~99歲,95,99,不相關,0.0
