"year","roc_year","district_code","district","status","people"
"2021","110","26","平溪區","喪偶","9"
"2021","110","26","平溪區","有偶","663"
"2021","110","26","平溪區","未婚","2119"
"2021","110","26","平溪區","離婚","106"
"2021","110","27","雙溪區","喪偶","10"
"2021","110","27","雙溪區","有偶","1519"
"2021","110","27","雙溪區","未婚","4784"
"2021","110","27","雙溪區","離婚","258"
"2021","110","28","貢寮區","喪偶","8"
"2021","110","28","貢寮區","有偶","1530"
"2021","110","28","貢寮區","未婚","4371"
"2021","110","28","貢寮區","離婚","260"
"2021","110","29","烏來區","喪偶","4"
"2021","110","29","烏來區","有偶","662"
"2021","110","29","烏來區","未婚","1381"
"2021","110","29","烏來區","離婚","116"
"2022","111","0","New Taipei City","喪偶","949"
"2022","111","0","New Taipei City","有偶","278083"
"2022","111","0","New Taipei City","未婚","917378"
"2022","111","0","New Taipei City","離婚","38922"
"2022","111","1","板橋區","喪偶","111"
"2022","111","1","板橋區","有偶","37442"
"2022","111","1","板橋區","未婚","122491"
"2022","111","1","板橋區","離婚","4851"
"2022","111","2","三重區","喪偶","89"
"2022","111","2","三重區","有偶","25299"
"2022","111","2","三重區","未婚","88507"
"2022","111","2","三重區","離婚","3872"
"2022","111","3","中和區","喪偶","74"
"2022","111","3","中和區","有偶","25269"
"2022","111","3","中和區","未婚","89824"
"2022","111","3","中和區","離婚","3395"
"2022","111","4","永和區","喪偶","32"
"2022","111","4","永和區","有偶","11236"
"2022","111","4","永和區","未婚","45602"
"2022","111","4","永和區","離婚","1256"
"2022","111","5","新莊區","喪偶","102"
"2022","111","5","新莊區","有偶","32322"
"2022","111","5","新莊區","未婚","100400"
"2022","111","5","新莊區","離婚","4258"
"2022","111","6","新店區","喪偶","59"
"2022","111","6","新店區","有偶","18177"
"2022","111","6","新店區","未婚","65794"
"2022","111","6","新店區","離婚","2283"
"2022","111","7","土城區","喪偶","52"
"2022","111","7","土城區","有偶","13528"
"2022","111","7","土城區","未婚","43740"
"2022","111","7","土城區","離婚","2037"
"2022","111","8","蘆洲區","喪偶","48"
"2022","111","8","蘆洲區","有偶","7316"
"2022","111","8","蘆洲區","未婚","21386"
"2022","111","8","蘆洲區","離婚","1222"
"2022","111","9","樹林區","喪偶","33"
"2022","111","9","樹林區","有偶","8758"
"2022","111","9","樹林區","未婚","27201"
"2022","111","9","樹林區","離婚","1467"
"2022","111","10","鶯歌區","喪偶","46"
"2022","111","10","鶯歌區","有偶","13478"
"2022","111","10","鶯歌區","未婚","40843"
"2022","111","10","鶯歌區","離婚","1763"
"2022","111","11","三峽區","喪偶","43"
"2022","111","11","三峽區","有偶","13620"
"2022","111","11","三峽區","未婚","47209"
"2022","111","11","三峽區","離婚","2015"
"2022","111","12","淡水區","喪偶","14"
"2022","111","12","淡水區","有偶","2292"
"2022","111","12","淡水區","未婚","8187"
"2022","111","12","淡水區","離婚","581"
"2022","111","13","汐止區","喪偶","70"
"2022","111","13","汐止區","有偶","18012"
"2022","111","13","汐止區","未婚","57827"
"2022","111","13","汐止區","離婚","2708"
"2022","111","14","瑞芳區","喪偶","48"
"2022","111","14","瑞芳區","有偶","14342"
"2022","111","14","瑞芳區","未婚","50916"
"2022","111","14","瑞芳區","離婚","2125"
"2022","111","15","五股區","喪偶","20"
"2022","111","15","五股區","有偶","7853"
"2022","111","15","五股區","未婚","22590"
"2022","111","15","五股區","離婚","1201"
"2022","111","16","泰山區","喪偶","21"
"2022","111","16","泰山區","有偶","5521"
"2022","111","16","泰山區","未婚","18204"
"2022","111","16","泰山區","離婚","733"
"2022","111","17","林口區","喪偶","33"
"2022","111","17","林口區","有偶","11685"
"2022","111","17","林口區","未婚","26412"
"2022","111","17","林口區","離婚","1112"
"2022","111","18","八里區","喪偶","2"
"2022","111","18","八里區","有偶","1371"
"2022","111","18","八里區","未婚","5789"
"2022","111","18","八里區","離婚","235"
"2022","111","19","深坑區","喪偶","6"
"2022","111","19","深坑區","有偶","346"
"2022","111","19","深坑區","未婚","1582"
"2022","111","19","深坑區","離婚","58"
"2022","111","20","石碇區","喪偶","1"
"2022","111","20","石碇區","有偶","344"
"2022","111","20","石碇區","未婚","1252"
"2022","111","20","石碇區","離婚","43"
"2022","111","21","坪林區","喪偶","9"
"2022","111","21","坪林區","有偶","1199"
"2022","111","21","坪林區","未婚","5122"
"2022","111","21","坪林區","離婚","254"
"2022","111","22","三芝區","喪偶","4"
"2022","111","22","三芝區","有偶","786"
"2022","111","22","三芝區","未婚","2537"
"2022","111","22","三芝區","離婚","112"
"2022","111","23","石門區","喪偶","6"
"2022","111","23","石門區","有偶","3340"
"2022","111","23","石門區","未婚","9627"
"2022","111","23","石門區","離婚","513"
"2022","111","24","金山區","喪偶","1"
"2022","111","24","金山區","有偶","140"
"2022","111","24","金山區","未婚","655"
"2022","111","24","金山區","離婚","35"
"2022","111","25","萬里區","喪偶","3"
"2022","111","25","萬里區","有偶","296"
"2022","111","25","萬里區","未婚","1470"
"2022","111","25","萬里區","離婚","81"
"2022","111","26","平溪區","喪偶","4"
"2022","111","26","平溪區","有偶","597"
"2022","111","26","平溪區","未婚","2017"
"2022","111","26","平溪區","離婚","104"
"2022","111","27","雙溪區","喪偶","8"
"2022","111","27","雙溪區","有偶","1436"
"2022","111","27","雙溪區","未婚","4599"
"2022","111","27","雙溪區","離婚","236"
"2022","111","28","貢寮區","喪偶","7"
"2022","111","28","貢寮區","有偶","1421"
"2022","111","28","貢寮區","未婚","4268"
"2022","111","28","貢寮區","離婚","251"
"2022","111","29","烏來區","喪偶","3"
"2022","111","29","烏來區","有偶","657"
"2022","111","29","烏來區","未婚","1327"
"2022","111","29","烏來區","離婚","121"
"2023","112","0","New Taipei City","喪偶","863"
"2023","112","0","New Taipei City","有偶","266266"
"2023","112","0","New Taipei City","未婚","912035"
"2023","112","0","New Taipei City","離婚","37695"
"2023","112","1","板橋區","喪偶","90"
"2023","112","1","板橋區","有偶","35381"
"2023","112","1","板橋區","未婚","121547"
"2023","112","1","板橋區","離婚","4579"
"2023","112","2","三重區","喪偶","83"
"2023","112","2","三重區","有偶","24219"
"2023","112","2","三重區","未婚","87440"
"2023","112","2","三重區","離婚","3694"
"2023","112","3","中和區","喪偶","77"
