"year","roc_year","month","district_code","district","total_population","youth_population","male_youth","female_youth","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39"
"2022","111","12","27","雙溪區","8102","1850","976","874","275","364","460","387","364"
"2022","111","12","28","貢寮區","11260","2722","1443","1279","352","549","634","580","607"
"2022","111","12","29","烏來區","6359","2108","1073","1035","309","381","475","489","454"
"2023","112","12","0","New Taipei City","4041120","1216859","626894","589965","172044","217931","260088","277884","288912"
"2023","112","12","1","板橋區","554247","161597","82599","78998","23969","28174","32242","36132","41080"
"2023","112","12","2","三重區","383108","115436","59927","55509","15482","20184","24094","26793","28883"
"2023","112","12","3","中和區","407273","116473","59928","56545","16159","20578","24491","26528","28717"
"2023","112","12","4","永和區","214771","57195","29141","28054","8865","10382","12192","12510","13246"
"2023","112","12","5","新莊區","423607","134572","68874","65698","19474","23441","27815","30813","33029"
"2023","112","12","6","新店區","304868","85915","43829","42086","11380","15358","19355","20137","19685"
"2023","112","12","7","土城區","240828","77339","40149","37190","9955","13203","16886","18605","18690"
"2023","112","12","8","蘆洲區","200022","65897","34123","31774","9360","12347","14503","15148","14539"
"2023","112","12","9","樹林區","180658","57873","30130","27743","8697","10672","12319","13050","13135"
"2023","112","12","10","鶯歌區","89080","29526","15603","13923","4162","5494","6192","6626","7052"
"2023","112","12","11","三峽區","115608","36725","19121","17604","5717","7064","8114","7956","7874"
"2023","112","12","12","淡水區","194399","56580","28914","27666","7700","10086","12473","13115","13206"
"2023","112","12","13","汐止區","209481","62593","32434","30159","8088","11660","14435","14558","13852"
"2023","112","12","14","瑞芳區","37197","10603","5579","5024","1353","2080","2313","2537","2320"
"2023","112","12","15","五股區","92754","31451","16417","15034","4130","5567","7134","7438","7182"
"2023","112","12","16","泰山區","77491","24188","12569","11619","4092","4453","5069","5206","5368"
"2023","112","12","17","林口區","132947","39892","19980","19912","6346","6696","7973","8811","10066"
"2023","112","12","18","八里區","41966","13555","7003","6552","1759","2621","3146","3066","2963"
"2023","112","12","19","深坑區","23689","7325","3944","3381","951","1428","1773","1715","1458"
"2023","112","12","20","石碇區","7166","1890","1009","881","296","428","440","363","363"
"2023","112","12","21","坪林區","6446","1595","847","748","216","340","380","355","304"
"2023","112","12","22","三芝區","22137","6409","3414","2995","864","1279","1580","1416","1270"
"2023","112","12","23","石門區","10752","3270","1729","1541","425","689","799","701","656"
"2023","112","12","24","金山區","20366","6086","3001","3085","795","1212","1437","1386","1256"
"2023","112","12","25","萬里區","20869","5731","2908","2823","813","1127","1281","1310","1200"
"2023","112","12","26","平溪區","4134","769","412","357","120","161","145","177","166"
"2023","112","12","27","雙溪區","7915","1755","919","836","253","345","428","388","341"
"2023","112","12","28","貢寮區","10981","2559","1362","1197","316","512","607","554","570"
"2023","112","12","29","烏來區","6360","2060","1029","1031","307","350","472","490","441"
"2024","113","12","0","New Taipei City","4047001","1189289","613927","575362","169861","207958","253037","278776","279657"
"2024","113","12","1","板橋區","553538","157121","80458","76663","23846","27049","31374","35607","39245"
"2024","113","12","2","三重區","383355","112826","58617","54209","15205","19242","23608","26877","27894"
"2024","113","12","3","中和區","405956","113170","58367","54803","15956","19776","23817","26284","27337"
"2024","113","12","4","永和區","213742","55328","28200","27128","8654","9866","11813","12373","12622"
"2024","113","12","5","新莊區","423503","130921","67137","63784","19330","22430","26751","30687","31723"
"2024","113","12","6","新店區","306571","84481","43152","41329","11366","14670","18791","20315","19339"
"2024","113","12","7","土城區","241224","75269","39119","36150","9800","12333","16279","18525","18332"
"2024","113","12","8","蘆洲區","198359","63804","33124","30680","9217","11535","14020","14960","14072"
"2024","113","12","9","樹林區","178981","55832","29150","26682","8479","10071","11962","12827","12493"
"2024","113","12","10","鶯歌區","89339","28971","15305","13666","4116","5159","6152","6640","6904"
"2024","113","12","11","三峽區","115335","35886","18749","17137","5560","6760","7877","8086","7603"
"2024","113","12","12","淡水區","200726","57346","29365","27981","7798","9948","12403","13854","13343"
"2024","113","12","13","汐止區","210817","61811","32163","29648","8091","10876","14256","14984","13604"
"2024","113","12","14","瑞芳區","36330","10117","5376","4741","1239","1969","2204","2466","2239"
"2024","113","12","15","五股區","93860","31210","16305","14905","4084","5266","7044","7725","7091"
"2024","113","12","16","泰山區","77667","23820","12390","11430","4034","4372","4932","5354","5128"
"2024","113","12","17","林口區","136075","39963","20071","19892","6470","6587","7804","9071","10031"
"2024","113","12","18","八里區","42674","13483","7002","6481","1699","2549","3087","3210","2938"
"2024","113","12","19","深坑區","23636","7147","3848","3299","889","1375","1716","1751","1416"
"2024","113","12","20","石碇區","7068","1816","982","834","253","400","463","351","349"
"2024","113","12","21","坪林區","6324","1530","807","723","173","329","372","344","312"
"2024","113","12","22","三芝區","22080","6172","3288","2884","796","1214","1472","1503","1187"
"2024","113","12","23","石門區","10397","3067","1635","1432","386","652","708","702","619"
"2024","113","12","24","金山區","20059","5806","2909","2897","739","1117","1376","1384","1190"
"2024","113","12","25","萬里區","20622","5531","2832","2699","749","1091","1214","1281","1196"
"2024","113","12","26","平溪區","4049","756","404","352","104","167","150","169","166"
"2024","113","12","27","雙溪區","7686","1666","868","798","250","327","382","392","315"
"2024","113","12","28","貢寮區","10719","2418","1283","1135","270","489","570","562","527"
"2024","113","12","29","烏來區","6309","2021","1021","1000","308","339","440","492","442"
"2025","114","12","0","New Taipei City","4044831","1161506","600050","561456","165012","191701","250128","275767","278898"
"2025","114","12","1","板橋區","549762","152134","78011","74123","23139","25065","31055","34655","38220"
"2025","114","12","2","三重區","382778","109955","57184","52771","14786","17754","23291","26421","27703"
"2025","114","12","3","中和區","403791","110132","56797","53335","15553","18363","23556","25722","26938"
"2025","114","12","4","永和區","211536","53500","27303","26197","8352","9008","11535","12242","12363"
"2025","114","12","5","新莊區","421239","126568","64880","61688","18635","20776","26232","29820","31105"
"2025","114","12","6","新店區","306884","82739","42326","40413","11245","13469","18423","20335","19267"
"2025","114","12","7","土城區","242713","73762","38227","35535","9498","11151","16070","18485","18558"
"2025","114","12","8","蘆洲區","196371","61663","32096","29567","8771","10418","13825","14577","14072"
"2025","114","12","9","樹林區","177412","53919","28138","25781","8135","9232","11750","12443","12359"
"2025","114","12","10","鶯歌區","89501","28445","15012","13433","3953","4709","6184","6634","6965"
"2025","114","12","11","三峽區","115009","35045","18446","16599","5367","6107","7905","8054","7612"
"2025","114","12","12","淡水區","208004","58495","29947","28548","7797","9535","12635","14458","14070"
"2025","114","12","13","汐止區","212758","61368","31935","29433","8037","10115","14093","15069","14054"
"2025","114","12","14","瑞芳區","35623","9674","5147","4527","1131","1758","2168","2394","2223"
"2025","114","12","15","五股區","94717","30751","16098","14653","3901","4878","6948","7763","7261"
"2025","114","12","16","泰山區","78083","23759","12382","11377","3933","4127","4947","5427","5325"
"2025","114","12","17","林口區","138461","39864","20121","19743","6604","6143","7785","9111","10221"
"2025","114","12","18","八里區","43495","13419","6950","6469","1689","2338","3107","3306","2979"
"2025","114","12","19","深坑區","23639","6966","3769","3197","812","1279","1694","1746","1435"
"2025","114","12","20","石碇區","6917","1724","923","801","210","378","458","357","321"
"2025","114","12","21","坪林區","6163","1449","764","685","162","279","373","324","311"
"2025","114","12","22","三芝區","22061","6039","3222","2817","752","1089","1445","1525","1228"
"2025","114","12","23","石門區","9994","2815","1491","1324","338","557","668","674","578"
"2025","114","12","24","金山區","19725","5547","2796","2751","705","979","1329","1371","1163"
"2025","114","12","25","萬里區","20209","5268","2705","2563","683","975","1180","1248","1182"
"2025","114","12","26","平溪區","3900","715","385","330","92","149","151","164","159"
"2025","114","12","27","雙溪區","7442","1556","808","748","213","303","351","386","303"
"2025","114","12","28","貢寮區","10445","2266","1195","1071","236","419","552","564","495"
"2025","114","12","29","烏來區","6199","1969","992","977","283","348","418","492","428"
"2026","115","7","0","New Taipei City","4037150","1151168","594980","556188","164647","186990","244695","274842","279994"
"2026","115","7","1","板橋區","548271","150823","77337","73486","23211","24637","30466","34409","38100"
"2026","115","7","2","三重區","382569","109091","56768","52323","14801","17330","22890","26283","27787"
"2026","115","7","3","中和區","402318","108953","56275","52678","15554","17969","23027","25696","26707"
"2026","115","7","4","永和區","210354","52840","26969","25871","8405","8753","11203","12139","12340"
"2026","115","7","5","新莊區","420079","125088","64042","61046","18561","20277","25675","29426","31149"
"2026","115","7","6","新店區","305637","81897","41868","40029","11199","13185","17819","20283","19411"
"2026","115","7","7","土城區","242738","73153","37904","35249","9560","10701","15684","18473","18735"
"2026","115","7","8","蘆洲區","195485","60737","31657","29080","8647","10114","13424","14472","14080"
"2026","115","7","9","樹林區","176474","53213","27817","25396","8069","9025","11494","12292","12333"
"2026","115","7","10","鶯歌區","89380","28054","14816","13238","3877","4535","6090","6661","6891"
"2026","115","7","11","三峽區","115087","34874","18352","16522","5323","5948","7759","8128","7716"
"2026","115","7","12","淡水區","209747","58630","30060","28570","7796","9416","12492","14633","14293"
"2026","115","7","13","汐止區","212341","60799","31618","29181","7959","9781","13795","15008","14256"
"2026","115","7","14","瑞芳區","35203","9497","5048","4449","1102","1657","2135","2340","2263"
"2026","115","7","15","五股區","95055","30660","16123","14537","3848","4707","6821","7822","7462"
"2026","115","7","16","泰山區","78170","23807","12406","11401","3932","4098","4841","5500","5436"
"2026","115","7","17","林口區","139367","40051","20207","19844","6832","6122","7632","9113","10352"
"2026","115","7","18","八里區","43412","13273","6902","6371","1674","2241","3052","3326","2980"
"2026","115","7","19","深坑區","23541","6893","3738","3155","792","1214","1645","1758","1484"
"2026","115","7","20","石碇區","6854","1691","901","790","195","366","442","367","321"
"2026","115","7","21","坪林區","6059","1403","746","657","152","259","364","321","307"
"2026","115","7","22","三芝區","21952","5941","3179","2762","719","1034","1411","1524","1253"
"2026","115","7","23","石門區","9874","2770","1476","1294","331","531","659","667","582"
"2026","115","7","24","金山區","19580","5451","2761","2690","674","947","1300","1353","1177"
"2026","115","7","25","萬里區","19979","5171","2682","2489","649","962","1130","1245","1185"
"2026","115","7","26","平溪區","3874","710","379","331","80","153","157","163","157"
"2026","115","7","27","雙溪區","7356","1548","801","747","196","302","337","398","315"
"2026","115","7","28","貢寮區","10282","2216","1169","1047","225","397","530","562","502"
"2026","115","7","29","烏來區","6112","1934","979","955","284","329","421","480","420"
