"year","roc_year","month","district_code","district","total_population","youth_population","male_youth","female_youth","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39"
"2012","101","12","28","貢寮區","13412","4295","2168","2127","692","718","741","972","1172"
"2012","101","12","29","烏來區","5975","2327","1155","1172","443","445","451","508","480"
"2013","102","12","0","New Taipei City","3954929","1528708","772188","756520","256414","278139","290967","359907","343281"
"2013","102","12","1","板橋區","556920","217568","109796","107772","33626","37025","42411","53879","50627"
"2013","102","12","2","三重區","389813","153780","78487","75293","23914","27555","30721","37475","34115"
"2013","102","12","3","中和區","415742","158484","80348","78136","23601","27039","30873","39563","37408"
"2013","102","12","4","永和區","229062","79141","39259","39882","14007","13961","14469","18123","18581"
"2013","102","12","5","新莊區","409760","169773","85319","84454","28395","30909","32870","40194","37405"
"2013","102","12","6","新店區","299017","104755","52464","52291","18040","20038","20038","23405","23234"
"2013","102","12","7","土城區","239258","98180","50226","47954","17276","19202","19450","22498","19754"
"2013","102","12","8","蘆洲區","199426","82172","41506","40666","15092","15993","15448","18214","17425"
"2013","102","12","9","樹林區","183407","75364","38334","37030","12902","14114","14369","17817","16162"
"2013","102","12","10","鶯歌區","88637","36171","18508","17663","6415","6601","7162","8528","7465"
"2013","102","12","11","三峽區","110010","42235","21272","20963","8325","8083","7495","8907","9425"
"2013","102","12","12","淡水區","155241","56716","28184","28532","9522","10456","10318","13160","13260"
"2013","102","12","13","汐止區","194200","71828","36531","35297","12377","13376","12682","16666","16727"
"2013","102","12","14","瑞芳區","41490","14242","7297","6945","2442","2942","2826","3134","2898"
"2013","102","12","15","五股區","81744","32926","16823","16103","6230","6429","6096","7351","6820"
"2013","102","12","16","泰山區","77939","32342","16339","16003","5278","5396","5668","7886","8114"
"2013","102","12","17","林口區","94108","36397","17761","18636","6740","6087","5950","8248","9372"
"2013","102","12","18","八里區","36201","14053","7091","6962","2607","2798","2599","3071","2978"
"2013","102","12","19","深坑區","23622","8754","4498","4256","1649","1786","1620","1892","1807"
"2013","102","12","20","石碇區","7848","2368","1234","1134","474","434","444","515","501"
"2013","102","12","21","坪林區","6460","1864","998","866","337","378","362","371","416"
"2013","102","12","22","三芝區","23464","8278","4338","3940","1678","1696","1502","1740","1662"
"2013","102","12","23","石門區","12794","4830","2418","2412","910","883","854","1141","1042"
"2013","102","12","24","金山區","22392","8435","4076","4359","1541","1583","1439","1943","1929"
"2013","102","12","25","萬里區","22618","7710","3768","3942","1308","1445","1430","1829","1698"
"2013","102","12","26","平溪區","5002","1177","672","505","153","217","217","284","306"
"2013","102","12","27","雙溪區","9412","2743","1424","1319","503","548","477","629","586"
"2013","102","12","28","貢寮區","13306","4119","2074","2045","657","703","740","926","1093"
"2013","102","12","29","烏來區","6036","2303","1143","1160","415","462","437","518","471"
"2014","103","12","0","New Taipei City","3966818","1506619","760871","745748","248713","278165","279885","347582","352274"
"2014","103","12","1","板橋區","555914","212933","107295","105638","32645","36292","39904","51971","52121"
"2014","103","12","2","三重區","389325","150804","77003","73801","23307","27119","29173","35952","35253"
"2014","103","12","3","中和區","415226","154644","78405","76239","22907","26572","29120","37656","38389"
"2014","103","12","4","永和區","227267","76799","38050","38749","13518","13882","13651","17258","18490"
"2014","103","12","5","新莊區","411711","167776","84192","83584","27424","30890","31627","38996","38839"
"2014","103","12","6","新店區","299730","103147","51629","51518","17347","20123","19519","22861","23297"
"2014","103","12","7","土城區","239270","97022","49706","47316","16562","19061","18792","22075","20532"
"2014","103","12","8","蘆洲區","199750","81234","41086","40148","14568","16032","15162","17610","17862"
"2014","103","12","9","樹林區","184167","74443","37843","36600","12605","13954","13807","17237","16840"
"2014","103","12","10","鶯歌區","89075","35927","18384","17543","6298","6545","6874","8494","7716"
"2014","103","12","11","三峽區","111588","42372","21288","21084","8120","8425","7506","8703","9618"
"2014","103","12","12","淡水區","158953","56871","28387","28484","9266","10870","10247","12890","13598"
"2014","103","12","13","汐止區","195140","71005","36094","34911","12081","13703","12426","15803","16992"
"2014","103","12","14","瑞芳區","41315","13998","7182","6816","2326","2931","2776","3028","2937"
"2014","103","12","15","五股區","82255","32833","16847","15986","6065","6577","5924","7209","7058"
"2014","103","12","16","泰山區","78370","31677","16011","15666","5141","5421","5448","7398","8269"
"2014","103","12","17","林口區","97645","37052","17995","19057","6776","6409","6049","8056","9762"
"2014","103","12","18","八里區","37187","14274","7180","7094","2549","2957","2584","3075","3109"
"2014","103","12","19","深坑區","23636","8615","4462","4153","1581","1834","1612","1765","1823"
"2014","103","12","20","石碇區","7864","2393","1259","1134","496","443","432","501","521"
"2014","103","12","21","坪林區","6455","1851","986","865","340","374","370","365","402"
"2014","103","12","22","三芝區","23480","8162","4296","3866","1572","1795","1455","1710","1630"
"2014","103","12","23","石門區","12733","4760","2393","2367","843","938","825","1088","1066"
"2014","103","12","24","金山區","22400","8293","4014","4279","1503","1615","1365","1860","1950"
"2014","103","12","25","萬里區","22678","7614","3720","3894","1253","1438","1418","1731","1774"
"2014","103","12","26","平溪區","4954","1151","637","514","151","212","210","277","301"
"2014","103","12","27","雙溪區","9450","2723","1403","1320","464","572","453","621","613"
"2014","103","12","28","貢寮區","13115","3937","1986","1951","611","711","712","865","1038"
"2014","103","12","29","烏來區","6165","2309","1138","1171","394","470","444","527","474"
"2015","104","12","0","New Taipei City","3970644","1484179","751629","732550","245277","274011","277081","330604","357206"
"2015","104","12","1","板橋區","554236","208268","105280","102988","32383","35134","38744","49151","52856"
"2015","104","12","2","三重區","388447","147829","75485","72344","22873","26362","28466","34260","35868"
"2015","104","12","3","中和區","414304","150977","76683","74294","22523","25834","28296","35529","38795"
"2015","104","12","4","永和區","225409","74821","37154","37667","13127","13672","13377","16298","18347"
"2015","104","12","5","新莊區","413243","165789","83424","82365","27178","30253","31279","37095","39984"
"2015","104","12","6","新店區","300267","101737","51149","50588","16924","19986","19492","22056","23279"
"2015","104","12","7","土城區","238703","95714","49132","46582","16117","18637","18795","21171","20994"
"2015","104","12","8","蘆洲區","200095","80546","40952","39594","14384","15847","15413","16890","18012"
"2015","104","12","9","樹林區","184249","73564","37508","36056","12447","13686","13663","16369","17399"
"2015","104","12","10","鶯歌區","87965","34986","18079","16907","6206","6491","6542","7915","7832"
"2015","104","12","11","三峽區","112708","42398","21409","20989","8116","8546","7591","8434","9711"
"2015","104","12","12","淡水區","162221","57116","28612","28504","9279","10946","10494","12465","13932"
"2015","104","12","13","汐止區","196028","70088","35700","34388","11931","13807","12605","14796","16949"
"2015","104","12","14","瑞芳區","40976","13778","7096","6682","2278","2840","2799","2926","2935"
"2015","104","12","15","五股區","82923","32827","16818","16009","5929","6602","6069","6919","7308"
"2015","104","12","16","泰山區","78707","31115","15832","15283","5144","5416","5361","6916","8278"
"2015","104","12","17","林口區","100350","37342","18189","19153","6910","6586","6199","7710","9937"
"2015","104","12","18","八里區","37678","14260","7164","7096","2541","2977","2627","2998","3117"
"2015","104","12","19","深坑區","23594","8571","4457","4114","1568","1838","1627","1671","1867"
"2015","104","12","20","石碇區","7855","2387","1233","1154","497","461","414","488","527"
"2015","104","12","21","坪林區","6490","1851","987","864","353","366","366","357","409"
"2015","104","12","22","三芝區","23487","8127","4300","3827","1538","1816","1475","1650","1648"
"2015","104","12","23","石門區","12641","4686","2348","2338","823","932","839","1001","1091"
"2015","104","12","24","金山區","22260","8126","3935","4191","1437","1616","1367","1750","1956"
"2015","104","12","25","萬里區","22642","7459","3671","3788","1229","1421","1394","1618","1797"
"2015","104","12","26","平溪區","4874","1107","610","497","148","207","202","259","291"
"2015","104","12","27","雙溪區","9245","2630","1361","1269","413","558","462","559","638"
"2015","104","12","28","貢寮區","12860","3773","1898","1875","607","702","683","822","959"
"2015","104","12","29","烏來區","6187","2307","1163","1144","374","472","440","531","490"
"2016","105","12","0","New Taipei City","3979208","1447198","734180","713018","234604","272488","279313","307673","353120"
"2016","105","12","1","板橋區","552285","201064","101739","99325","31118","34455","38123","45200","52168"
"2016","105","12","2","三重區","388581","143680","73357","70323","21926","25879","28394","31833","35648"
"2016","105","12","3","中和區","414266","146187","74317","71870","21449","25731","27991","32827","38189"
"2016","105","12","4","永和區","223999","72149","36050","36099","12454","13488","13452","15093","17662"
"2016","105","12","5","新莊區","414156","161756","81460","80296","26015","29867","31454","34580","39840"
"2016","105","12","6","新店區","301168","99359","50139","49220","16079","19928","19754","20883","22715"
"2016","105","12","7","土城區","238500","93471","48092","45379","15151","18335","19085","19780","21120"
"2016","105","12","8","蘆洲區","200702","78856","40192","38664","13750","15775","15718","15741","17872"
"2016","105","12","9","樹林區","184400","71753","36616","35137","11830","13555","13865","15163","17340"
"2016","105","12","10","鶯歌區","87231","33922","17590","16332","5902","6602","6404","7193","7821"
"2016","105","12","11","三峽區","114180","42051","21296","20755","7840","8670","7839","8095","9607"
"2016","105","12","12","淡水區","165765","56816","28547","28269","9081","10989","10948","11791","14007"
"2016","105","12","13","汐止區","197749","68806","35150","33656","11499","13976","13071","13861","16399"
